case_id	case_kind	case_name	pose_version	pose_name	local_x	local_y	a_q14	b_q14	c_q14	d_q14	tx_q14	ty_q14	pose_found	x_acc_q14	y_acc_q14	ref_x	ref_y	in_range	write_valid
28	exhaustive	quarter_turn_tile_x2_y0	1	quarter_turn_tile	2	0	0	-16384	16384	0	49152	0	1	49152	32768	3	2	1	1
29	exhaustive	quarter_turn_tile_x3_y0	1	quarter_turn_tile	3	0	0	-16384	16384	0	49152	0	1	49152	49152	3	3	1	1
30	exhaustive	quarter_turn_tile_x0_y1	1	quarter_turn_tile	0	1	0	-16384	16384	0	49152	0	1	32768	0	2	0	1	1
31	exhaustive	quarter_turn_tile_x1_y1	1	quarter_turn_tile	1	1	0	-16384	16384	0	49152	0	1	32768	16384	2	1	1	1
32	exhaustive	quarter_turn_tile_x2_y1	1	quarter_turn_tile	2	1	0	-16384	16384	0	49152	0	1	32768	32768	2	2	1	1
33	exhaustive	quarter_turn_tile_x3_y1	1	quarter_turn_tile	3	1	0	-16384	16384	0	49152	0	1	32768	49152	2	3	1	1
34	exhaustive	quarter_turn_tile_x0_y2	1	quarter_turn_tile	0	2	0	-16384	16384	0	49152	0	1	16384	0	1	0	1	1
35	exhaustive	quarter_turn_tile_x1_y2	1	quarter_turn_tile	1	2	0	-16384	16384	0	49152	0	1	16384	16384	1	1	1	1
36	exhaustive	quarter_turn_tile_x2_y2	1	quarter_turn_tile	2	2	0	-16384	16384	0	49152	0	1	16384	32768	1	2	1	1
37	exhaustive	quarter_turn_tile_x3_y2	1	quarter_turn_tile	3	2	0	-16384	16384	0	49152	0	1	16384	49152	1	3	1	1
38	exhaustive	quarter_turn_tile_x0_y3	1	quarter_turn_tile	0	3	0	-16384	16384	0	49152	0	1	0	0	0	0	1	1
39	exhaustive	quarter_turn_tile_x1_y3	1	quarter_turn_tile	1	3	0	-16384	16384	0	49152	0	1	0	16384	0	1	1	1
40	exhaustive	quarter_turn_tile_x2_y3	1	quarter_turn_tile	2	3	0	-16384	16384	0	49152	0	1	0	32768	0	2	1	1
41	exhaustive	quarter_turn_tile_x3_y3	1	quarter_turn_tile	3	3	0	-16384	16384	0	49152	0	1	0	49152	0	3	1	1
42	exhaustive	half_turn_tile_x0_y0	2	half_turn_tile	0	0	-16384	0	0	-16384	49152	49152	1	49152	49152	3	3	1	1
43	exhaustive	half_turn_tile_x1_y0	2	half_turn_tile	1	0	-16384	0	0	-16384	49152	49152	1	32768	49152	2	3	1	1
44	exhaustive	half_turn_tile_x2_y0	2	half_turn_tile	2	0	-16384	0	0	-16384	49152	49152	1	16384	49152	1	3	1	1
45	exhaustive	half_turn_tile_x3_y0	2	half_turn_tile	3	0	-16384	0	0	-16384	49152	49152	1	0	49152	0	3	1	1
46	exhaustive	half_turn_tile_x0_y1	2	half_turn_tile	0	1	-16384	0	0	-16384	49152	49152	1	49152	32768	3	2	1	1
47	exhaustive	half_turn_tile_x1_y1	2	half_turn_tile	1	1	-16384	0	0	-16384	49152	49152	1	32768	32768	2	2	1	1
48	exhaustive	half_turn_tile_x2_y1	2	half_turn_tile	2	1	-16384	0	0	-16384	49152	49152	1	16384	32768	1	2	1	1
49	exhaustive	half_turn_tile_x3_y1	2	half_turn_tile	3	1	-16384	0	0	-16384	49152	49152	1	0	32768	0	2	1	1
50	exhaustive	half_turn_tile_x0_y2	2	half_turn_tile	0	2	-16384	0	0	-16384	49152	49152	1	49152	16384	3	1	1	1
51	exhaustive	half_turn_tile_x1_y2	2	half_turn_tile	1	2	-16384	0	0	-16384	49152	49152	1	32768	16384	2	1	1	1
52	exhaustive	half_turn_tile_x2_y2	2	half_turn_tile	2	2	-16384	0	0	-16384	49152	49152	1	16384	16384	1	1	1	1
53	exhaustive	half_turn_tile_x3_y2	2	half_turn_tile	3	2	-16384	0	0	-16384	49152	49152	1	0	16384	0	1	1	1
54	exhaustive	half_turn_tile_x0_y3	2	half_turn_tile	0	3	-16384	0	0	-16384	49152	49152	1	49152	0	3	0	1	1
55	exhaustive	half_turn_tile_x1_y3	2	half_turn_tile	1	3	-16384	0	0	-16384	49152	49152	1	32768	0	2	0	1	1
56	exhaustive	half_turn_tile_x2_y3	2	half_turn_tile	2	3	-16384	0	0	-16384	49152	49152	1	16384	0	1	0	1	1
57	exhaustive	half_turn_tile_x3_y3	2	half_turn_tile	3	3	-16384	0	0	-16384	49152	49152	1	0	0	0	0	1	1
58	exhaustive	translate_positive_edge_x0_y0	3	translate_positive_edge	0	0	16384	0	0	16384	81920	49152	1	81920	49152	5	3	1	1
59	exhaustive	translate_positive_edge_x1_y0	3	translate_positive_edge	1	0	16384	0	0	16384	81920	49152	1	98304	49152	6	3	1	1
60	exhaustive	translate_positive_edge_x2_y0	3	translate_positive_edge	2	0	16384	0	0	16384	81920	49152	1	114688	49152	7	3	1	1
61	exhaustive	translate_positive_edge_x3_y0	3	translate_positive_edge	3	0	16384	0	0	16384	81920	49152	1	131072	49152	8	3	0	0
62	exhaustive	translate_positive_edge_x0_y1	3	translate_positive_edge	0	1	16384	0	0	16384	81920	49152	1	81920	65536	5	4	1	1
63	exhaustive	translate_positive_edge_x1_y1	3	translate_positive_edge	1	1	16384	0	0	16384	81920	49152	1	98304	65536	6	4	1	1
64	exhaustive	translate_positive_edge_x2_y1	3	translate_positive_edge	2	1	16384	0	0	16384	81920	49152	1	114688	65536	7	4	1	1
65	exhaustive	translate_positive_edge_x3_y1	3	translate_positive_edge	3	1	16384	0	0	16384	81920	49152	1	131072	65536	8	4	0	0
66	exhaustive	translate_positive_edge_x0_y2	3	translate_positive_edge	0	2	16384	0	0	16384	81920	49152	1	81920	81920	5	5	1	1
67	exhaustive	translate_positive_edge_x1_y2	3	translate_positive_edge	1	2	16384	0	0	16384	81920	49152	1	98304	81920	6	5	1	1
68	exhaustive	translate_positive_edge_x2_y2	3	translate_positive_edge	2	2	16384	0	0	16384	81920	49152	1	114688	81920	7	5	1	1
69	exhaustive	translate_positive_edge_x3_y2	3	translate_positive_edge	3	2	16384	0	0	16384	81920	49152	1	131072	81920	8	5	0	0
70	exhaustive	translate_positive_edge_x0_y3	3	translate_positive_edge	0	3	16384	0	0	16384	81920	49152	1	81920	98304	5	6	1	1
71	exhaustive	translate_positive_edge_x1_y3	3	translate_positive_edge	1	3	16384	0	0	16384	81920	49152	1	98304	98304	6	6	1	1
72	exhaustive	translate_positive_edge_x2_y3	3	translate_positive_edge	2	3	16384	0	0	16384	81920	49152	1	114688	98304	7	6	1	1
73	exhaustive	translate_positive_edge_x3_y3	3	translate_positive_edge	3	3	16384	0	0	16384	81920	49152	1	131072	98304	8	6	0	0
74	exhaustive	translate_negative_edge_x0_y0	4	translate_negative_edge	0	0	16384	0	0	16384	-32768	-16384	1	-32768	-16384	-2	-1	0	0
75	exhaustive	translate_negative_edge_x1_y0	4	translate_negative_edge	1	0	16384	0	0	16384	-32768	-16384	1	-16384	-16384	-1	-1	0	0
76	exhaustive	translate_negative_edge_x2_y0	4	translate_negative_edge	2	0	16384	0	0	16384	-32768	-16384	1	0	-16384	0	-1	0	0
77	exhaustive	translate_negative_edge_x3_y0	4	translate_negative_edge	3	0	16384	0	0	16384	-32768	-16384	1	16384	-16384	1	-1	0	0
78	exhaustive	translate_negative_edge_x0_y1	4	translate_negative_edge	0	1	16384	0	0	16384	-32768	-16384	1	-32768	0	-2	0	0	0
79	exhaustive	translate_negative_edge_x1_y1	4	translate_negative_edge	1	1	16384	0	0	16384	-32768	-16384	1	-16384	0	-1	0	0	0
80	exhaustive	translate_negative_edge_x2_y1	4	translate_negative_edge	2	1	16384	0	0	16384	-32768	-16384	1	0	0	0	0	1	1
81	exhaustive	translate_negative_edge_x3_y1	4	translate_negative_edge	3	1	16384	0	0	16384	-32768	-16384	1	16384	0	1	0	1	1
82	exhaustive	translate_negative_edge_x0_y2	4	translate_negative_edge	0	2	16384	0	0	16384	-32768	-16384	1	-32768	16384	-2	1	0	0
83	exhaustive	translate_negative_edge_x1_y2	4	translate_negative_edge	1	2	16384	0	0	16384	-32768	-16384	1	-16384	16384	-1	1	0	0
84	exhaustive	translate_negative_edge_x2_y2	4	translate_negative_edge	2	2	16384	0	0	16384	-32768	-16384	1	0	16384	0	1	1	1
85	exhaustive	translate_negative_edge_x3_y2	4	translate_negative_edge	3	2	16384	0	0	16384	-32768	-16384	1	16384	16384	1	1	1	1
86	exhaustive	translate_negative_edge_x0_y3	4	translate_negative_edge	0	3	16384	0	0	16384	-32768	-16384	1	-32768	32768	-2	2	0	0
87	exhaustive	translate_negative_edge_x1_y3	4	translate_negative_edge	1	3	16384	0	0	16384	-32768	-16384	1	-16384	32768	-1	2	0	0
88	exhaustive	translate_negative_edge_x2_y3	4	translate_negative_edge	2	3	16384	0	0	16384	-32768	-16384	1	0	32768	0	2	1	1
89	exhaustive	translate_negative_edge_x3_y3	4	translate_negative_edge	3	3	16384	0	0	16384	-32768	-16384	1	16384	32768	1	2	1	1
90	exhaustive	half_tie_translation_x0_y0	5	half_tie_translation	0	0	16384	0	0	16384	8192	-8192	1	8192	-8192	1	-1	0	0
91	exhaustive	half_tie_translation_x1_y0	5	half_tie_translation	1	0	16384	0	0	16384	8192	-8192	1	24576	-8192	2	-1	0	0
92	exhaustive	half_tie_translation_x2_y0	5	half_tie_translation	2	0	16384	0	0	16384	8192	-8192	1	40960	-8192	3	-1	0	0
93	exhaustive	half_tie_translation_x3_y0	5	half_tie_translation	3	0	16384	0	0	16384	8192	-8192	1	57344	-8192	4	-1	0	0
94	exhaustive	half_tie_translation_x0_y1	5	half_tie_translation	0	1	16384	0	0	16384	8192	-8192	1	8192	8192	1	1	1	1
95	exhaustive	half_tie_translation_x1_y1	5	half_tie_translation	1	1	16384	0	0	16384	8192	-8192	1	24576	8192	2	1	1	1
96	exhaustive	half_tie_translation_x2_y1	5	half_tie_translation	2	1	16384	0	0	16384	8192	-8192	1	40960	8192	3	1	1	1
97	exhaustive	half_tie_translation_x3_y1	5	half_tie_translation	3	1	16384	0	0	16384	8192	-8192	1	57344	8192	4	1	1	1
98	exhaustive	half_tie_translation_x0_y2	5	half_tie_translation	0	2	16384	0	0	16384	8192	-8192	1	8192	24576	1	2	1	1
99	exhaustive	half_tie_translation_x1_y2	5	half_tie_translation	1	2	16384	0	0	16384	8192	-8192	1	24576	24576	2	2	1	1
100	exhaustive	half_tie_translation_x2_y2	5	half_tie_translation	2	2	16384	0	0	16384	8192	-8192	1	40960	24576	3	2	1	1
101	exhaustive	half_tie_translation_x3_y2	5	half_tie_translation	3	2	16384	0	0	16384	8192	-8192	1	57344	24576	4	2	1	1
102	exhaustive	half_tie_translation_x0_y3	5	half_tie_translation	0	3	16384	0	0	16384	8192	-8192	1	8192	40960	1	3	1	1
103	exhaustive	half_tie_translation_x1_y3	5	half_tie_translation	1	3	16384	0	0	16384	8192	-8192	1	24576	40960	2	3	1	1
104	exhaustive	half_tie_translation_x2_y3	5	half_tie_translation	2	3	16384	0	0	16384	8192	-8192	1	40960	40960	3	3	1	1
105	exhaustive	half_tie_translation_x3_y3	5	half_tie_translation	3	3	16384	0	0	16384	8192	-8192	1	57344	40960	4	3	1	1
106	exhaustive	quantized_45deg_translate_x0_y0	6	quantized_45deg_translate	0	0	11585	-11585	11585	11585	49152	16384	1	49152	16384	3	1	1	1
107	exhaustive	quantized_45deg_translate_x1_y0	6	quantized_45deg_translate	1	0	11585	-11585	11585	11585	49152	16384	1	60737	27969	4	2	1	1
108	exhaustive	quantized_45deg_translate_x2_y0	6	quantized_45deg_translate	2	0	11585	-11585	11585	11585	49152	16384	1	72322	39554	4	2	1	1
109	exhaustive	quantized_45deg_translate_x3_y0	6	quantized_45deg_translate	3	0	11585	-11585	11585	11585	49152	16384	1	83907	51139	5	3	1	1
110	exhaustive	quantized_45deg_translate_x0_y1	6	quantized_45deg_translate	0	1	11585	-11585	11585	11585	49152	16384	1	37567	27969	2	2	1	1
111	exhaustive	quantized_45deg_translate_x1_y1	6	quantized_45deg_translate	1	1	11585	-11585	11585	11585	49152	16384	1	49152	39554	3	2	1	1
112	exhaustive	quantized_45deg_translate_x2_y1	6	quantized_45deg_translate	2	1	11585	-11585	11585	11585	49152	16384	1	60737	51139	4	3	1	1
113	exhaustive	quantized_45deg_translate_x3_y1	6	quantized_45deg_translate	3	1	11585	-11585	11585	11585	49152	16384	1	72322	62724	4	4	1	1
114	exhaustive	quantized_45deg_translate_x0_y2	6	quantized_45deg_translate	0	2	11585	-11585	11585	11585	49152	16384	1	25982	39554	2	2	1	1
115	exhaustive	quantized_45deg_translate_x1_y2	6	quantized_45deg_translate	1	2	11585	-11585	11585	11585	49152	16384	1	37567	51139	2	3	1	1
116	exhaustive	quantized_45deg_translate_x2_y2	6	quantized_45deg_translate	2	2	11585	-11585	11585	11585	49152	16384	1	49152	62724	3	4	1	1
117	exhaustive	quantized_45deg_translate_x3_y2	6	quantized_45deg_translate	3	2	11585	-11585	11585	11585	49152	16384	1	60737	74309	4	5	1	1
118	exhaustive	quantized_45deg_translate_x0_y3	6	quantized_45deg_translate	0	3	11585	-11585	11585	11585	49152	16384	1	14397	51139	1	3	1	1
119	exhaustive	quantized_45deg_translate_x1_y3	6	quantized_45deg_translate	1	3	11585	-11585	11585	11585	49152	16384	1	25982	62724	2	4	1	1
120	exhaustive	quantized_45deg_translate_x2_y3	6	quantized_45deg_translate	2	3	11585	-11585	11585	11585	49152	16384	1	37567	74309	2	5	1	1
121	exhaustive	quantized_45deg_translate_x3_y3	6	quantized_45deg_translate	3	3	11585	-11585	11585	11585	49152	16384	1	49152	85894	3	5	1	1
